,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
85,SE0012827996=,SE0012827996=,SEK,,,,,,,,,2019-07-25,2.3363,,0.0556,,,,,,,6.349864,,1000000,750000000
86,SE0013016169=,SE0013016169=,SEK,,,,,,,,,2019-08-28,2.6649,,0.0639,,2.618945,,37.850864,,,33.637413,,2000000,300000000
87,SE0013101649=,SE0013101649=,SEK,AA-,Fitch Senior Non-Preferred,2025-05-19,,,,,,2020-02-12,,,,,,,,,,,,10000,31690000
88,SE0013101771=,SE0013101771=,SEK,,,,,,,,,2020-05-08,4.0536,,3.9235,0.394706041684797,4.053442,,3.365905,,,3.315827,,2000000,200000000
89,SE0013101904=,SE0013101904=,SEK,,,,,,,,,2020-09-17,1.3417,,0.1194,,1.33895,,2.664912,,,2.614732,,2000000,600000000
90,SE0013101912=,SE0013101912=,SEK,,,,,,,,,2020-09-17,1.3557,,1.3139,0.152390612762162,1.355708,,3.228921,,,3.178764,,2000000,1000000000
91,SE0013102183=,SE0013102183=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2025-09-02,,,,,,2021-04-29,0.9833,,0.9541,0.11733753045862,0.983333,,3.160522,,,3.110542,,2000000,300000000
92,SE0013102241=,SE0013102241=,SEK,,,,,,,,,2021-05-11,2.0026,,1.9374,0.207864315007397,2.002638,,3.415194,,,3.365259,,2000000,250000000
93,SE0013102258=,SE0013102258=,SEK,,,,,,,,,2021-05-11,1.966,,0.2667,,1.965976,,2.687578,,,2.637669,,2000000,750000000
94,SE0013102274=,SE0013102274=,SEK,,,,,,,,,2021-05-12,0.514,,0.0194,,0.513982,,2.506808,,,2.456398,,2000000,900000000
95,SE0013102308=,SE0013102308=,SEK,,,,,,,,,2021-05-28,0.0639,,0.0639,,0.063889,,2.383597,,,2.336637,,2000000,600000000
96,SE0013102357=,SE0013102357=,SEK,,,,,,,,,2021-06-16,1.1002,,0.1167,,1.097458,,2.484776,,,2.43478,,2000000,1400000000
97,SE0013102365=,SE0013102365=,SEK,,,,,,,,,2021-06-16,1.1032,,1.0722,0.129849211883213,1.103207,,2.938565,,,2.888591,,2000000,350000000
98,SE0013102373=,SE0013102373=,SEK,Baa1,Moody's Senior Unsecured,2010-11-30,,,,,,2021-06-21,2.0646,,0.1333,,2.061811,,2.627267,,,2.57719,,2000000,1100000000
99,SE0013102381=,SE0013102381=,SEK,Baa1,Moody's Senior Unsecured,2010-11-30,,,,,,2021-06-21,2.0861,,2.022,0.218060733400052,2.086063,,3.219031,,,3.169062,,2000000,400000000
100,SE0013102415=,SE0013102415=,SEK,BBB-,Fitch Subordinated,2022-04-28,,,,,,2021-08-20,0.4035,,0.1556,,0.400762,,2.202798,,,2.153322,,2000000,3300000000
